name;stars;pr merged;main language;releases;age in days;minutes w/o update;% closed issues;id
mall;65790;0;Java;2;1849;6.980376233333333;94.0;94
neovim;65325;9714;Vim Script;32;3373;5.9303752;86.0;95
neovim;65325;9714;Vim Script;32;3373;5.93037645;86.0;96
Front-End-Checklist;64943;172;;1;2019;59.04704331666667;97.0;97
app-ideas;64362;149;;0;1522;64.33037685000001;33.0;98
Awesome-Hacking;64266;27;;0;2584;18.530377066666667;0.0;99
iptv;64172;5344;JavaScript;0;1625;15.34704395;92.0;100
reveal.js;63610;373;JavaScript;40;4342;30.830377483333333;71.0;101
elasticsearch;63544;54805;Java;109;4826;142.71371101666668;89.0;102
webpack;63006;4303;JavaScript;391;4065;86.61371123333333;98.0;103
tauri;62817;2995;Rust;541;1384;4.413711433333333;83.0;104
flask;62742;1475;Python;27;4769;94.1303783;100.0;105
netdata;62723;6562;C;61;3601;225.58037851666668;97.0;106
swift;62460;42227;C++;47;2743;12.197045383333334;57.0;107
GitHub-Chinese-Top-Charts;61464;0;Java;0;1330;20.46371226666667;57.0;108
godot;60805;26977;C++;45;3400;21.130379133333335;81.0;109
express;60704;268;JavaScript;147;5053;45.09704605;97.0;110
Chart.js;60446;2870;JavaScript;102;3693;55.94704625;97.0;111
code-server;60114;1290;TypeScript;107;1520;101.08037978333333;92.0;112
awesome-mac;60089;738;JavaScript;6;2475;16.43038;73.0;113
resume.github.com;59824;84;JavaScript;0;4463;62.64704686666666;54.0;114
core;59785;45651;Python;1000;3509;106.31371373333333;94.0;115
interviews;59657;42;Java;0;2263;120.39704728333332;40.0;116
redis;59647;3282;C;51;5150;21.11371415;69.0;117
redux;59527;1606;TypeScript;72;2890;51.747047683333335;98.0;118
atom;59316;3937;JavaScript;538;4115;258.2303812166667;94.0;119
angular.js;59186;789;JavaScript;0;4859;368.1137147666667;96.0;120
protobuf;59144;4213;C++;125;3166;45.16371496666667;88.0;121
awesome-machine-learning;58666;788;Python;0;3208;336.81371516666667;100.0;122
markdown-here;58664;20;JavaScript;11;4001;213.19704871666667;51.0;123
keras;58152;2825;Python;47;2952;90.23038225;98.0;124
socket.io;58112;415;TypeScript;55;4795;104.56371578333332;97.0;125
architect-awesome;57941;49;;0;1847;43.34704931666667;31.0;126
jquery;57422;615;JavaScript;6;5137;299.5137161833334;97.0;127
fastapi;57231;1193;Python;149;1601;39.43038305;99.0;128
ansible;57159;36655;Python;10;4069;8.697049933333334;98.0;129
mermaid;57066;1579;JavaScript;105;3099;15.713716833333333;65.0;130
Front-end-Developer-Interview-Questions;56968;440;Nunjucks;0;4095;110.98038369999999;97.0;131
nocode;56516;1;Dockerfile;1;1906;120.91371725;14.0;132
shadowsocks-windows;56419;278;C#;55;3755;120.26371745;96.0;133
nest;56216;5039;TypeScript;84;2273;57.563717649999994;99.0;134
lodash;56189;573;JavaScript;2;4037;4.530384516666667;92.0;135
the-algorithm;56119;2;Scala;0;31;8.01371805;83.0;136
33-js-concepts;55937;164;JavaScript;0;1696;119.0970516;69.0;137
vite;55669;3289;TypeScript;291;1101;19.16371846666667;93.0;138
cs-video-courses;55265;126;;0;2379;31.847052;89.0;139
awesome-react;55089;770;;0;3186;45.53038553333333;98.0;140
strapi;53409;6127;JavaScript;275;2766;11.8803878;96.0;141
element;53319;3221;Vue;144;2427;352.01372133333336;87.0;142
HowToCook;53107;461;HTML;1;1153;27.163721549999998;43.0;143
rails;52713;21281;Ruby;93;5494;15.16372175;98.0;144
stable-diffusion;52608;5;Jupyter Notebook;0;260;11.16372195;28.0;145
clash_for_windows_pkg;52571;7;;196;1652;17.2470555;94.0;146
cpython;52149;32787;Python;0;2267;68.99705569999999;89.0;147
fzf;51842;376;Go;26;3473;34.19705591666666;89.0;148
superset;51692;10584;TypeScript;126;2837;42.93038945;88.0;149
spring-framework;51643;763;Java;255;4523;55.86372298333333;95.0;150
Java;51605;997;Java;0;2476;6.347056516666667;100.0;151
Best-websites-a-programmer-should-visit;51252;373;;0;2244;286.3137233833333;65.0;152
hoppscotch;51156;1068;TypeScript;18;1345;37.26372358333333;89.0;153
leetcode;51094;252;JavaScript;40;1854;298.8137238;98.0;154
design-resources-for-developers;50977;839;;0;1086;25.430390666666664;100.0;155
manim;50954;562;Python;10;2958;46.54705753333334;66.0;156
awesome-nodejs;50864;395;;0;3212;88.9137244;99.0;157
syncthing;50853;2307;Go;331;3439;55.88039126666667;94.0;158
awesome-for-beginners;50699;335;;0;2742;16.3637248;89.0;159
tesseract;50663;1309;C++;25;3180;19.49705833333333;85.0;160
Semantic-UI;50536;356;JavaScript;154;3671;31.480391866666665;85.0;161
DeepLearning-500-questions;50400;302;JavaScript;0;1765;53.030392066666664;44.0;162
normalize.css;50243;56;CSS;0;4376;367.89705895000003;91.0;163
react-router;50206;1844;TypeScript;245;3268;91.96372583333333;99.0;164
playwright;50126;10235;TypeScript;100;1259;5.663726049999999;92.0;165
funNLP;49585;11;Python;0;1710;58.69705963333333;76.0;166
requests;49447;1474;Python;6;4456;43.947059849999995;94.0;167
supabase;49263;4726;TypeScript;25;1293;5.2803933999999995;91.0;168
ionic-framework;48978;4537;TypeScript;618;3537;253.6803936;98.0;169
Ventoy;48232;242;C;89;1143;69.78039381666667;77.0;170
face_recognition;48059;94;Python;2;2246;161.69706068333335;45.0;171
material-design-icons;47952;41;;16;3123;80.04706088333334;83.0;172
prometheus;47936;5212;Go;255;3806;8.447061083333333;88.0;173
ML-For-Beginners;47874;342;Jupyter Notebook;0;785;26.897061283333336;0.0;174
moment;47350;712;JavaScript;0;4440;339.1303948166667;95.0;175
PayloadsAllTheThings;47307;461;Python;2;2382;56.113728349999995;0.0;176
guava;47304;372;Java;35;3255;161.26372855;81.0;177
you-get;47245;570;Python;118;3902;18.497062083333333;0.0;178
excalidraw;47227;2948;TypeScript;9;1211;19.71372895;65.0;179
obs-studio;47205;3713;C;180;3495;17.313729149999997;88.0;180
imgui;47142;302;C++;85;3202;10.91372935;85.0;181
bulma;47091;603;CSS;17;2651;31.397062883333334;92.0;182
scrapy;47006;1956;Python;31;4812;118.84706308333332;83.0;183
caddy;46983;1583;Go;103;3026;111.08039661666666;98.0;184
RxJava;46967;3126;Java;231;3761;317.59706348333333;100.0;185
localstack;46906;3354;Python;63;2375;53.59706368333333;93.0;186
awesome-courses;46876;194;;0;3085;43.847063883333334;55.0;187
jekyll;46552;3075;Ruby;107;5302;22.080397416666663;98.0;188
awesome-flutter;46500;419;Dart;0;2181;87.98039761666668;0.0;189
hacker-scripts;46461;63;JavaScript;0;2714;9.880397816666665;52.0;190
alacritty;46313;1542;Rust;79;2625;20.613731350000002;93.0;191
SecLists;46223;487;PHP;19;4085;26.330398216666666;90.0;192
awesome-android-ui;46141;90;;0;3046;68.01373175;89.0;193
yt-dlp;46111;1376;Python;69;913;24.547065283333332;80.0;194
tabby;46102;1355;TypeScript;175;2316;10.497065483333333;67.0;195
git;46039;3;C;0;5391;20.96373235;0.0;196
awesome-cpp;45928;553;;0;3206;15.180399216666666;35.0;197
prettier;45440;7202;JavaScript;100;2340;27.080399433333334;84.0;198
nuxt;45028;2944;TypeScript;181;2374;131.31373296666666;93.0;199
anime;45025;72;JavaScript;14;2601;24.51373316666667;73.0;200
awesome-scalability;44859;30;;0;1947;72.38040003333334;0.0;201
big-list-of-naughty-strings;44783;90;Python;0;2819;92.04706689999999;33.0;202
faceswap;44632;346;Python;3;1955;325.2970671;98.0;203
serverless;44622;4424;JavaScript;359;2928;131.08040063333334;84.0;204
kotlin;44514;2047;Kotlin;203;4091;161.08040083333333;0.0;205
docusaurus;44160;4663;TypeScript;126;2137;135.04706769999999;91.0;206
tldr;44009;7941;Markdown;2;3427;15.113734566666666;85.0;207
learn-regex;43995;124;;0;2105;171.5970681;42.0;208
okhttp;43904;3097;Kotlin;0;3930;367.54706830000003;96.0;209
DefinitelyTyped;43794;46474;TypeScript;1;3856;8.497068500000001;91.0;210
meteor;43439;1868;JavaScript;0;4116;184.91373536666666;98.0;211
nerd-fonts;43326;304;CSS;29;3065;21.7970689;91.0;212
etcd;43282;7584;Go;222;3582;156.86373576666668;97.0;213
cypress;43244;5270;JavaScript;304;2976;59.68040263333333;79.0;214
new-pac;43062;0;;0;2591;13.780402833333333;75.0;215
rich;43041;697;Python;151;1264;67.34706969999999;91.0;216
Ghost;43016;7828;JavaScript;649;3645;44.447069899999995;99.0;217
d2l-zh;42957;1016;Python;16;2073;10.047070100000001;0.0;218
dayjs;42921;643;JavaScript;113;1843;274.23040363333337;57.0;219
traefik;42762;3771;Go;393;2783;26.130403833333332;89.0;220
algorithm-visualizer;42737;182;JavaScript;0;2538;30.013737366666664;70.0;221
TensorFlow-Examples;42720;88;Jupyter Notebook;0;2724;120.36373756666667;30.0;222
devops-exercises;42669;227;Python;0;1302;40.34707108333334;83.0;223
awesome-ios;42644;2193;Swift;0;3213;34.130404633333335;100.0;224
architecture-samples;42580;222;Kotlin;0;2638;25.6970715;74.0;225
AdminLTE;42423;1261;JavaScript;72;3410;34.163738366666664;98.0;226
pdf.js;42305;6314;JavaScript;50;4384;11.647071899999998;96.0;227
v2ray-core;42302;203;Go;247;2792;314.39707208333334;99.0;228
parcel;42282;2124;JavaScript;25;2089;103.34707228333333;87.0;229
pi-hole;42204;1628;Shell;98;3245;226.43040581666668;99.0;230
babel;42200;5188;TypeScript;340;3133;368.36373935;92.0;231
julia;42182;20954;Julia;138;4389;26.047072883333332;84.0;232
go-ethereum;42036;6184;Go;172;3409;99.14707308333332;97.0;233
gogs;42019;1570;Go;78;3361;18.563739950000002;84.0;234
v2rayN;41999;89;C#;154;1367;24.547073483333335;99.0;235
build-web-application-with-golang;41932;757;Go;0;3920;26.947073683333333;61.0;236
Projects;41917;19;;0;3584;16.76374055;45.0;237
jest;41876;5136;TypeScript;190;3425;115.61374073333333;94.0;238
retrofit;41456;807;Java;0;4616;463.2304076;94.0;239
mastodon;41332;11544;Ruby;192;2621;12.547074466666666;60.0;240
Real-Time-Voice-Cloning;41331;48;Python;0;1432;33.197074666666666;88.0;241
yarn;41153;1652;JavaScript;150;2655;59.36374153333334;72.0;242
rustdesk;41114;1335;Rust;8;941;6.463741733333333;96.0;243
clash;41090;269;Go;52;1782;8.363741933333333;97.0;244
git-flight-rules;40958;216;;0;3201;39.663742133333336;77.0;245
bat;40935;1117;Rust;39;1832;24.197075666666667;84.0;246
awesome-wechat-weapp;40926;274;;0;2408;288.99707586666665;0.0;247
bun;40841;813;Zig;71;743;48.997076066666665;59.0;248
hyper;40764;2760;TypeScript;86;2491;360.2137429333333;77.0;249
100-Days-Of-ML-Code;40718;6;;0;1757;17.813743133333332;0.0;250
github-cheat-sheet;40708;129;;0;3302;4.863743316666667;75.0;251
react;40666;322;JavaScript;0;1790;20.51374351666667;99.0;252
mkcert;40654;52;Go;14;1767;24.513743716666667;72.0;253
sherlock;40550;522;Python;0;1585;19.630410583333333;95.0;254
x64dbg;40535;598;C++;3;2938;55.88041078333333;77.0;255
design-patterns-for-humans;40466;49;;0;2261;91.36374431666667;90.0;256
vue2-elm;39995;20;Vue;0;2316;339.94707784999997;82.0;257
drawio-desktop;39849;17;Shell;106;2163;71.54707805;87.0;258
pixijs;39763;2748;TypeScript;200;3748;82.19707825;98.0;259
nw.js;39572;570;JavaScript;0;4131;327.06374511666667;88.0;260
marktext;39565;930;JavaScript;36;1992;142.76374531666667;62.0;261
chinese-poetry;39404;126;JavaScript;1;2428;196.26374553333332;47.0;262
Alamofire;39267;575;Swift;93;3192;191.13041239999998;99.0;263
trackerslist;39255;1;;0;2559;8.79708825;99.0;264
project-layout;39228;57;Makefile;0;2056;7.147088916666666;28.0;265
openpilot;39225;6603;Python;49;2345;29.18042255;89.0;266
ghidra;39143;359;Java;26;1518;13.647089466666667;69.0;267
pm2;38938;540;JavaScript;120;3628;76.96375635;85.0;268
DeepFaceLab;38930;32;Python;2;1788;132.3970899;59.0;269
materialize;38830;449;JavaScript;41;3149;291.01375678333335;88.0;270
dubbo;38820;4175;Java;81;3964;401.26375698333334;88.0;271
minio;38707;8123;Go;396;3025;346.14709053333337;100.0;272
styled-components;38677;886;TypeScript;139;2445;127.34709073333333;94.0;273
PowerShell;38371;6179;C#;140;2661;129.03042426666667;70.0;274
leetcode-master;38276;1675;Shell;0;1230;102.26375785;32.0;275
huginn;38214;951;Ruby;1;3700;395.38042473333337;71.0;276
rclone;38203;1537;Go;93;3329;4.380424933333333;84.0;277
PythonDataScienceHandbook;38202;28;Jupyter Notebook;0;2451;48.78042513333333;42.0;278
frontend-dev-bookmarks;38152;129;;1;3596;72.21375868333332;82.0;279
