name;stars;pr merged;main language;releases;age in days;minutes w/o update;% closed issues;id
python-cheatsheet;32378;13;Python;0;1918;104.83045033333333;88.0;410
formik;32277;746;TypeScript;170;2143;110.03045053333334;70.0;411
arthas;32277;444;Java;48;1702;204.9971174;90.0;412
hello-algorithm;32270;25;Java;0;1063;538.5971175999999;84.0;413
gold-miner;32254;3531;;0;2731;379.3137844666666;100.0;414
gorm;32228;626;Go;2;3471;18.213784683333333;96.0;415
TaskMatrix;32207;17;Python;0;56;4.48045155;43.0;416
zju-icicles;32183;187;HTML;0;2494;128.03045175;85.0;417
material-design-lite;32168;655;HTML;14;3025;392.8471186166667;83.0;418
metabase;32157;14741;Clojure;342;3006;131.08045216666667;80.0;419
black;32150;1129;Python;27;1870;11.563785716666667;83.0;420
cli;32137;1733;Go;104;1302;87.03045258333333;88.0;421
AndroidUtilCode;32083;87;Java;117;2462;58.4304528;83.0;422
Microsoft-Activation-Scripts;32021;0;Batchfile;7;1201;34.380453;100.0;423
shellcheck;31984;259;Haskell;28;3813;242.98045321666666;63.0;424
XX-Net;31974;361;Python;362;3024;200.2971201;40.0;425
dbeaver;31787;3406;Java;174;2745;21.74712033333333;88.0;426
openai-cookbook;31733;135;Jupyter Notebook;0;412;5.34712055;58.0;427
pyenv;31655;767;Roff;73;3891;95.91378743333333;98.0;428
cobra;31640;530;Go;20;3523;13.897120983333334;87.0;429
aspnetcore;31569;13097;C#;180;3334;61.54712118333334;91.0;430
date-fns;31409;1023;TypeScript;105;3125;46.83045473333333;74.0;431
ShadowsocksX-NG;31392;63;Swift;29;2512;105.96378826666667;78.0;432
devdocs;31346;554;Ruby;0;3472;290.31378846666667;88.0;433
ijkplayer;31339;35;C;0;3615;94.84712201666666;48.0;434
acme.sh;31299;1221;Shell;39;2679;36.08045555;69.0;435
android-open-project;31209;202;;0;3399;1373.7804557666668;87.0;436
netty;31109;3097;Java;0;4552;277.2637893;91.0;437
gpt_academic;31085;36;Python;13;38;13.4137895;67.0;438
vim-plug;31077;166;Vim Script;5;3516;211.88045636666666;89.0;439
typeorm;31072;1836;TypeScript;27;2614;56.9637899;75.0;440
jQuery-File-Upload;31037;119;PHP;0;4530;580.1971234333333;99.0;441
12306;31012;31;Python;1;2171;70.63045698333333;68.0;442
gym;30994;999;Python;19;2556;12.6137905;97.0;443
zxing;30977;212;Java;29;4215;565.1971240500001;100.0;444
weekly;30956;61;;0;1657;65.08045758333334;20.0;445
prisma;30923;3845;TypeScript;154;1407;78.38045778333334;67.0;446
appwrite;30890;1900;TypeScript;58;1480;25.613791316666667;77.0;447
Open-Assistant;30879;1337;Python;105;135;8.897124866666667;67.0;448
mitmproxy;30843;2052;Python;48;4818;426.98045840000003;92.0;449
free;30820;0;;0;1054;14.647125283333333;31.0;450
wtfjs;30799;124;JavaScript;25;2113;20.480458816666665;91.0;451
awesome-javascript;30599;362;;0;3222;292.81379236666663;98.0;452
segment-anything;30540;15;Jupyter Notebook;0;35;6.263792566666667;34.0;453
jieba;30471;96;Python;9;3862;52.08045945;26.0;454
fanqiang;30359;3;Kotlin;2;3025;87.08045965;59.0;455
carbon-lang;30315;1682;C++;0;1095;55.647126533333335;75.0;456
tesseract.js;30269;122;JavaScript;39;2864;104.31379343333333;96.0;457
awesome-design-patterns;30226;29;;0;1788;154.54712708333332;44.0;458
zustand;30186;463;TypeScript;68;1479;29.44712731666667;99.0;459
aria2;30136;206;C++;23;4534;82.54712751666666;45.0;460
metasploit-framework;30108;9898;Ruby;0;4258;143.38046105;93.0;461
awesome-awesomeness;30098;197;Ruby;0;3215;248.88046126666669;81.0;462
vim;30096;3;Vim Script;0;2809;92.49712813333333;82.0;463
CPlusPlusThings;30070;57;C++;0;1383;52.63046166666666;98.0;464
hackingtool;30017;39;Python;0;1111;353.8137952166666;97.0;465
airflow;29986;15446;Python;63;2936;27.730462083333336;91.0;466
PaddleOCR;29957;2106;Python;6;1084;52.56379561666667;79.0;467
astro;29898;3614;TypeScript;1000;773;172.44712915;95.0;468
curl;29889;161;C;67;4788;20.89712935;98.0;469
react-beautiful-dnd;29859;524;JavaScript;68;2087;39.347129566666666;67.0;470
certbot;29859;3650;Python;42;3088;14.697129766666666;91.0;471
Docker-OSX;29849;97;Shell;0;1057;116.0804633;48.0;472
n8n;29828;3672;TypeScript;32;1405;88.33046351666667;86.0;473
diagrams;29779;237;Python;39;1180;33.147130383333334;41.0;474
beego;29671;1167;Go;21;4075;132.63046393333335;100.0;475
HEAD;29649;86;;0;2563;583.9471308166667;80.0;476
vue-cli;29644;1258;JavaScript;177;2679;273.48046436666664;83.0;477
graphql-engine;29643;2109;TypeScript;196;1774;25.563797916666665;64.0;478
LeetCode-Go;29576;173;Go;4;2109;240.53046478333331;82.0;479
marked;29574;1000;JavaScript;90;4295;138.79713165;98.0;480
googletest;29540;757;C++;6;2830;225.58046518333333;89.0;481
Blog;29469;3;;0;2236;128.19713206666668;31.0;482
foundation-sites;29459;2950;HTML;76;4214;257.66379893333334;99.0;483
framework;29371;13671;PHP;623;3759;21.51379915;100.0;484
husky;29322;201;JavaScript;60;3230;295.51379935;98.0;485
spring-boot-demo;29321;15;Java;0;1994;153.31379956666666;46.0;486
compose;29298;2632;Go;195;3426;56.03046643333333;97.0;487
COVID-19;29277;2152;;0;1178;365.68046665;55.0;488
phantomjs;29237;562;C++;0;4504;1569.2138002;100.0;489
es6features;29130;41;;0;3342;552.6638004166667;63.0;490
react-boilerplate;29111;715;JavaScript;16;2990;1000.5304672833333;96.0;491
p3c;29080;62;Kotlin;0;2134;146.14713416666666;84.0;492
ColossalAI;29011;2190;Python;29;546;7.26380105;76.0;493
cs-self-learning;28972;178;HTML;2;554;28.763801249999997;52.0;494
dotfiles;28966;44;Shell;0;4252;356.0971348;64.0;495
odoo;28914;6164;JavaScript;0;3271;111.84713501666667;87.0;496
HanLP;28902;73;Python;57;3122;345.91380188333335;99.0;497
reactjs-interview-questions;28872;123;JavaScript;0;1792;75.03046876666667;94.0;498
libpku;28854;22;TeX;0;1617;201.11380231666666;76.0;499
spring-boot-examples;28841;7;Java;0;2364;326.2971358666666;95.0;500
vimrc;28836;99;Vim Script;0;3985;5.847136066666667;98.0;501
rxjs;28795;2523;TypeScript;0;2965;157.46380295;93.0;502
interview;28765;33;C++;0;1903;6.813803166666667;74.0;503
project-guidelines;28674;113;JavaScript;0;2127;287.8638033666667;74.0;504
google-research;28671;29;Jupyter Notebook;0;1666;92.06380358333332;28.0;505
pandoc;28669;1438;Haskell;117;4786;23.33047045;87.0;506
tmux;28639;1;C;34;2885;11.73047065;99.0;507
awesome-php;28557;386;;0;3439;40.913804199999994;99.0;508
REKCARC-TSC-UHT;28417;122;HTML;0;1483;127.66380441666666;96.0;509
leakcanary;28408;846;Kotlin;31;2920;25.647137966666666;95.0;510
MockingBird;28397;64;Python;1;628;29.063804833333332;49.0;511
ClickHouse;28391;28083;C++;454;2520;33.997138383333336;82.0;512
Hover;28381;23;SCSS;10;3402;8.930471933333333;79.0;513
lottie-web;28349;120;JavaScript;0;2988;441.63047213333334;76.0;514
GFPGAN;28346;14;Python;8;769;81.11380566666666;34.0;515
symfony;28255;19975;PHP;427;4861;42.19713921666666;97.0;516
50projects50days;28255;39;CSS;0;892;59.74713941666666;0.0;517
Awesome-Design-Tools;28245;283;JavaScript;0;1535;192.99713961666666;78.0;518
500lines;28232;175;JavaScript;0;3461;450.49713983333334;57.0;519
todomvc;28206;719;JavaScript;5;4346;604.0804733666666;82.0;520
programmer-job-blacklist;28186;16;Shell;0;2497;334.0638069;55.0;521
standard;28123;402;JavaScript;4;3012;328.29714048333335;93.0;522
html2canvas;28111;186;TypeScript;45;4303;62.71380735;66.0;523
android_guides;28097;10;;0;3599;541.2471408833333;58.0;524
linux-insides;28063;571;Python;0;3036;359.98047441666665;86.0;525
ccxt;28046;7740;Python;0;2174;33.280474616666666;91.0;526
vuex;28016;654;JavaScript;51;2842;630.4971414833333;93.0;527
apollo;28013;1327;Java;38;2610;178.83047503333333;95.0;528
backbone;28006;859;JavaScript;0;4592;1269.3804752333333;98.0;529
slick;27951;237;JavaScript;48;3321;791.2638087666667;67.0;530
async;27849;478;JavaScript;7;4713;135.83047563333332;99.0;531
insomnia;27826;1920;JavaScript;320;2560;4.880475833333334;84.0;532
webtorrent;27807;667;JavaScript;104;3481;386.0971427;94.0;533
sequelize;27799;3939;JavaScript;450;4662;370.3638095833333;92.0;534
NeteaseCloudMusicApi;27758;261;JavaScript;171;2500;102.18047645;91.0;535
nvm-windows;27653;78;Go;19;3141;41.36380998333333;91.0;536
swift-algorithm-club;27650;608;Swift;0;2648;103.34714351666666;86.0;537
easyexcel;27613;149;Java;5;1906;217.16381038333333;93.0;538
vault;27602;12700;Go;90;2983;7.613810583333334;84.0;539
Coursera-ML-AndrewNg-Notes;27594;13;HTML;0;2000;161.84714411666667;23.0;540
composer;27590;2629;PHP;178;4341;21.547144366666664;98.0;541
Python;27553;1213;Python;0;4166;52.9304779;35.0;542
ImHex;27483;264;C++;55;898;6.213811433333333;83.0;543
httpie;27473;383;Python;44;4079;30.780478316666667;83.0;544
postcss;27433;701;TypeScript;235;3502;87.39714518333334;98.0;545
awesome-macos-command-line;27391;104;;0;2774;248.73047871666668;0.0;546
learnGitBranching;27366;520;JavaScript;0;3909;134.48047891666667;95.0;547
solid;27341;295;TypeScript;33;1829;63.86381245;96.0;548
Files;27327;3782;C#;91;1574;30.747145983333333;95.0;549
yew;27302;1545;Rust;33;1958;19.4971462;91.0;550
layui;27255;197;JavaScript;81;2774;127.8471464;100.0;551
fd;27250;445;Rust;35;2179;16.913813283333333;90.0;552
awesome-shell;27250;298;;0;3216;27.463813483333336;39.0;553
interactive-coding-challenges;27218;176;Python;0;2921;974.8471470333334;48.0;554
algo;27168;505;Jinja;2;2538;376.18048058333335;91.0;555
swc;27139;3816;Rust;252;1952;31.99714745;88.0;556
English-level-up-tips;27138;23;;0;2158;76.94714763333333;75.0;557
legacy-homebrew;27133;222;;0;5090;368.1804811666667;100.0;558
fastify;27123;2304;JavaScript;257;2402;51.56381471666667;96.0;559
particles.js;27101;21;JavaScript;6;3155;505.7804815833333;26.0;560
Prompt-Engineering-Guide;27036;87;Jupyter Notebook;0;132;11.013815116666667;43.0;561
cockroach;27031;44949;Go;0;3367;29.26381531666667;89.0;562
calculator;27028;788;C++;0;1550;129.16381551666666;70.0;563
halo;27017;1163;Java;120;1863;16.330482383333333;88.0;564
JCSprout;26956;69;Java;0;1957;359.5804825833333;66.0;565
underscore;26940;741;JavaScript;0;4932;1590.0804827833333;98.0;566
slate;26940;1723;TypeScript;136;2504;28.713816316666666;81.0;567
openpose;26887;165;C++;15;2194;59.71381651666666;88.0;568
TrafficMonitor;26869;43;C++;24;2097;85.09715005;42.0;569
sqlmap;26842;150;Python;8;3957;40.880483600000005;99.0;570
lx-music-desktop;26573;12;TypeScript;98;1352;5.8638191666666675;77.0;571
swr;26527;678;TypeScript;98;1277;14.813819366666667;91.0;572
modern-unix;26499;10;;0;835;27.28048623333333;17.0;573
lighthouse;26427;4728;JavaScript;97;2606;335.76381976666664;93.0;574
appsmith;26417;7512;TypeScript;159;1031;10.93048665;76.0;575
lazydocker;26416;150;Go;35;1440;146.81382018333335;64.0;576
selenium;26415;1306;Java;81;3755;321.2804872666667;98.0;577
slidev;26415;233;TypeScript;231;733;71.14715373333334;92.0;578
mobx;26394;1050;TypeScript;87;2966;320.7971541333333;99.0;579
jsPDF;26393;700;JavaScript;32;4890;304.113821;94.0;580
pytorch-tutorial;26362;28;Python;0;2239;104.93048784999999;64.0;581
consul;26347;10014;Go;135;3461;7.8471547333333325;79.0;582
minikube;26332;6475;Go;140;2568;46.79715493333333;91.0;583
OpenAPI-Specification;26325;774;JavaScript;10;3342;136.46382181666667;73.0;584
JavaScript;26321;682;JavaScript;0;2114;8.647155333333334;98.0;585
cheerio;26282;1607;TypeScript;57;4218;73.99715554999999;99.0;586
python-guide;26217;680;Batchfile;0;4426;41.680489083333335;64.0;587
nacos;26205;2330;Java;55;1777;142.33048928333335;97.0;588
awesome-python-cn;26195;51;Makefile;0;2732;29.030489483333334;63.0;589
gitflow;26183;36;Shell;0;4845;718.8304896833334;35.0;590
ResumeSample;26112;2;;0;3153;116.36381713333334;0.0;591
waifu2x;26108;68;Lua;3;2902;40.680484;58.0;592
rethinkdb;26051;450;C++;71;3831;1294.1138175333333;79.0;593
react-select;26029;1026;TypeScript;48;3166;133.49715106666665;93.0;594
fiber;26007;1158;Go;105;1197;182.81381793333333;96.0;595
yapi;25972;141;JavaScript;1;2523;298.58048479999997;38.0;596
spaCy;25968;3303;Python;112;3220;15.663818350000001;99.0;597
zsh-autosuggestions;25965;104;Shell;0;3470;2.2304852166666667;80.0;598
run;25959;167;;0;382;30.31381875;92.0;599
run;25959;167;;0;382;30.313825266666665;92.0;600
miaosha;25851;20;Java;0;1686;250.98048561666667;97.0;601
miaosha;25851;20;Java;0;1686;250.98049213333334;97.0;602
codemirror5;25839;584;JavaScript;168;4486;238.68049233333335;91.0;603
vhr;25838;1;Java;0;1939;7.013825866666666;38.0;604
lede;25769;1764;C;5;2059;155.81382606666665;93.0;605
Detectron;25724;0;Python;0;2030;151.4971596;67.0;606
photoprism;25716;493;Go;52;1916;8.2471598;79.0;607
fetch;25704;148;JavaScript;38;3118;69.58049333333334;97.0;608
request;25624;650;JavaScript;0;4477;1221.3304935333333;97.0;609
butterknife;25623;346;Java;0;3705;183.1471604;92.0;610
nps;25614;74;Go;59;1635;65.4971606;62.0;611
mongoose;25603;2373;JavaScript;85;4769;396.7804941333333;97.0;612
canal;25602;416;Java;26;3756;345.4804943333333;77.0;613
nginxconfig.io;25598;163;JavaScript;0;1938;46.1471612;80.0;614
ace;25597;1581;JavaScript;36;4565;238.56382806666667;96.0;615
select2;25595;707;JavaScript;29;4071;66.81382826666666;98.0;616
react-spring;25555;377;TypeScript;47;1877;22.697161816666668;94.0;617
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers;25536;243;Jupyter Notebook;0;3755;18.447162016666667;37.0;618
gitbook;25526;214;JavaScript;0;3314;297.91382888333334;0.0;619
echo;25488;515;Go;98;2979;181.08049576666664;96.0;620
SpringAll;25460;1;Java;0;1821;350.4638293;63.0;621
spring-cloud-alibaba;25456;856;Java;34;1973;327.24716283333333;79.0;622
Modernizr;25451;799;JavaScript;25;4962;368.14716305;89.0;623
django-rest-framework;25433;2832;Python;17;4439;76.24716325;98.0;624
etcher;25394;1693;TypeScript;256;2739;43.847163466666665;79.0;625
the-super-tiny-compiler;25346;20;JavaScript;0;2603;12.663830333333333;0.0;626
influxdb;25325;9529;Go;77;3500;34.080497199999996;87.0;627
ray;25318;16911;Python;65;2375;93.21383073333332;82.0;628
AnotherRedisDesktopManager;25305;129;JavaScript;44;1570;350.26383093333334;80.0;629
fastjson;25297;418;Java;84;4193;330.0138311333333;48.0;630
portainer;25294;3289;Go;103;2534;36.797164683333335;80.0;631
reverse-interview;25271;69;;0;1327;563.4804982166667;68.0;632
lapce;25258;747;Rust;25;1906;36.04716506666667;57.0;633
mattermost-server;25254;13420;TypeScript;352;2873;6.513831933333334;91.0;634
nprogress;25244;34;JavaScript;7;3537;526.5638321499999;34.0;635
floating-ui;25237;789;TypeScript;314;2585;11.81383235;99.0;636
css-protips;25189;54;;0;2798;363.23049921666666;91.0;637
awesome-remote-job;25180;547;;0;3037;34.99716608333333;87.0;638
nodemon;25171;296;JavaScript;88;4589;67.99716628333333;99.0;639
vagrant;25156;2610;Ruby;8;4844;8.580500033333333;93.0;640
immer;25156;344;JavaScript;104;1945;2.21383315;96.0;641
AI-Expert-Roadmap;25146;13;JavaScript;0;915;29.813833566666666;77.0;642
awesome-docker;25120;861;;1;3140;187.6471671;100.0;643
rocksdb;25103;591;C++;172;3800;32.047167316666666;81.0;644
sharp;25099;252;JavaScript;57;3538;131.36383418333332;97.0;645
How-To-Ask-Questions-The-Smart-Way;25097;94;JavaScript;0;2952;15.3638344;72.0;646
folly;25069;4;C++;135;3982;269.88050128333333;68.0;647
proxyee-down;25065;16;Java;49;2010;1970.59716815;0.0;648
handson-ml;25002;56;Jupyter Notebook;0;2627;381.1971683666667;78.0;649
data-science-ipython-notebooks;24999;31;Python;0;3016;56.54716858333334;58.0;650
pytorch-image-models;24998;235;Python;43;1545;2.46383545;92.0;651
trpc;24997;2417;TypeScript;150;1013;2.3805023166666666;90.0;652
yuzu;24990;5447;C++;0;1940;163.51383586666668;70.0;653
ChatGPT;24979;271;Python;217;145;62.363836066666664;99.0;654
alist;24966;307;Go;89;855;12.297169616666668;95.0;655
llama.cpp;24941;308;C;227;48;38.61383648333333;65.0;656
clashX;24924;35;Swift;31;1779;44.847170033333335;0.0;657
react-virtualized;24897;453;JavaScript;5;2732;376.8638369;63.0;658
kit;24891;476;Go;12;3005;118.74717043333334;94.0;659
os-tutorial;24865;11;C;0;3132;12.313837316666667;60.0;660
the_silver_searcher;24848;399;C;0;4177;39.11383751666666;49.0;661
poetry;24809;1603;Python;123;1884;245.73050438333334;88.0;662
kafka;24777;6536;Java;0;4273;58.44717125;0.0;663
jq;24770;225;C;9;3935;367.54717146666667;66.0;664
hacker-laws;24766;170;Shell;1;1918;114.58050499999999;35.0;665
nylas-mail;24732;139;JavaScript;53;3115;277.8638385333333;71.0;666
cmder;24730;397;C++;32;3579;199.74717208333334;98.0;667
YouCompleteMe;24728;744;Python;0;4028;259.36383895;100.0;668
handson-ml2;24672;64;Jupyter Notebook;0;1570;201.31383916666667;61.0;669
fabric.js;24666;1878;JavaScript;122;4705;5.830506033333333;95.0;670
vaultwarden;24638;630;Rust;48;1895;16.880506233333332;100.0;671
detectron2;24633;0;Python;10;1330;31.797173100000002;91.0;672
tqdm;24628;271;Python;120;2885;53.81383996666667;62.0;673
serenity;24617;13382;C++;0;1607;87.5971735;82.0;674
commander.js;24609;613;JavaScript;73;4274;170.8638403666667;99.0;675
toBeTopJavaer;24603;52;Java;0;1645;70.0971739;56.0;676
SDWebImage;24568;867;Objective-C;125;4966;394.0471778;98.0;677
fonts;24543;72;Shell;1;3781;158.53051181666666;39.0;678
dokku;24521;2719;Shell;239;3610;244.3138454666667;99.0;679
fastText;24508;12;HTML;4;2476;487.2971790666667;58.0;680
modern-js-cheatsheet;24494;82;;0;2047;592.2138459666666;83.0;681
ngx-admin;24434;339;TypeScript;18;2528;93.79717953333333;77.0;682
python-fire;24431;70;Python;9;2256;108.76384643333334;60.0;683
awesome-deep-learning-papers;24430;39;TeX;0;2519;409.7471799833333;42.0;684
nushell;24393;4522;Rust;72;1448;19.863846866666666;79.0;685
remote-jobs;24383;1096;JavaScript;0;2753;315.29718045000004;91.0;686
EventBus;24325;31;Java;7;3937;374.2471808166667;83.0;687
linkedin-skill-assessments-quizzes;24274;4504;Python;1;1384;29.913847816666664;90.0;688
streamlit;24252;2756;Python;57;1342;105.71384803333333;80.0;689
awesome-electron;24218;260;;0;2926;263.66384825;100.0;690
RSSHub;24216;6410;JavaScript;0;1851;17.7471818;94.0;691
helm;24216;3383;Go;172;2760;59.68051558333333;96.0;692
C-Plus-Plus;24200;556;C++;0;2476;360.4305159;97.0;693
xxl-job;24180;97;Java;32;2707;82.7471828;63.0;694
SmartRefreshLayout;24166;12;Java;11;2155;45.297183016666665;81.0;695
Clone-Wars;24165;106;;0;876;113.78051656666666;93.0;696
engineering-blogs;24116;680;Ruby;0;2875;591.4305167666666;86.0;697
darknet;24111;10;C;0;3303;149.84718371666668;23.0;698
JavaScript30;24102;150;HTML;0;2332;43.14718395;0.0;699
applied-ml;24095;201;;0;1027;152.73051750000002;86.0;700
xgboost;24071;3559;C++;50;3367;781.6471843833333;93.0;701
ShareX;24065;718;C#;76;3488;23.39718463333333;91.0;702
iview;24017;526;Vue;85;2464;2304.1305182166666;80.0;703
angular-styleguide;23996;331;;0;3194;2122.5305184666668;85.0;704
go-zero;23954;1468;Go;87;993;36.38051873333333;81.0;705
lottie-ios;23949;587;Swift;58;2394;136.19718566666668;98.0;706
mmdetection;23944;2183;Python;50;1709;273.9971858833333;91.0;707
iris;23885;312;Go;28;2644;19.313852816666667;91.0;708
jsoncrack.com;23867;60;TypeScript;17;452;2.9305197166666668;77.0;709
30-Days-Of-Python;23844;42;Python;0;1255;97.1971866;32.0;710
fastai;23822;1645;Jupyter Notebook;49;2056;52.88052015;92.0;711
pipenv;23800;1338;Python;68;2288;51.83052036666666;95.0;712
linux-command;23795;269;Markdown;25;2357;3.4138539166666666;64.0;713
swagger-ui;23772;2386;JavaScript;267;4304;347.81385413333334;82.0;714
ItChat;23756;29;Python;13;2655;229.980521;71.0;715
seata;23681;1723;Java;35;1581;458.0971878666667;79.0;716
seata;23681;1723;Java;35;1581;458.09715655;79.0;717
emscripten;23671;9087;C;0;4457;81.0138549;84.0;718
xstate;23641;1338;TypeScript;217;2782;479.23049008333334;92.0;719
xstate;23641;1338;TypeScript;217;2782;479.23052178333336;92.0;720
mongo;23631;123;C++;0;5215;204.06385533333332;0.0;721
mongo;23631;123;C++;0;5215;204.06382361666667;0.0;722
weekly;23622;130;JavaScript;176;2229;109.79715716666666;99.0;723
weekly;23622;130;JavaScript;176;2229;109.79718890000001;99.0;724
Complete-Python-3-Bootcamp;23610;12;Jupyter Notebook;0;1900;119.79715736666667;66.0;725
Complete-Python-3-Bootcamp;23610;12;Jupyter Notebook;0;1900;119.79718915;66.0;726
alpine;23590;516;HTML;113;1246;15.09718935;100.0;727
plyr;23586;382;JavaScript;88;2994;186.06385623333333;60.0;728
devtools;23579;261;TypeScript;84;3132;56.097157583333335;72.0;729
devtools;23579;261;TypeScript;84;3132;56.097189766666666;72.0;730
react-native-elements;23574;1184;TypeScript;84;2422;429.63052335;97.0;731
Signal-Android;23566;238;Java;0;4151;6.547190233333334;97.0;732
CheatSheetSeries;23562;682;Python;0;1588;55.647190450000004;90.0;733
BaseRecyclerViewAdapterHelper;23525;191;Kotlin;196;2573;226.83049111666665;85.0;734
BaseRecyclerViewAdapterHelper;23525;191;Kotlin;196;2573;226.83052403333335;85.0;735
hammer.js;23516;114;JavaScript;0;4073;5.697190916666667;74.0;736
hammer.js;23516;114;JavaScript;0;4073;5.697158;74.0;737
NewPipe;23504;1411;Java;125;2793;24.647191133333333;85.0;738
NewPipe;23504;1411;Java;125;2793;24.6471582;85.0;739
Vundle.vim;23490;86;Vim Script;0;4575;81.0471584;77.0;740
rollup;23359;1638;JavaScript;390;2905;263.4805267666667;86.0;741
Python-programming-exercises;23338;0;;0;3969;22.680526983333333;15.0;742
Hystrix;23332;672;Java;79;3811;345.63052718333336;67.0;743
professional-programming;23331;29;Python;0;2728;51.36386073333333;100.0;744
numpy;23331;9841;Python;98;4609;112.81386093333334;83.0;745
aos;23310;38;JavaScript;0;2849;53.2305278;53.0;746
docsify;23308;548;JavaScript;13;2349;312.11386135;83.0;747
flutter-go;23292;158;Dart;4;1570;488.31386155;0.0;748
RxSwift;23290;754;Swift;71;2942;165.68052843333334;99.0;749
DeepSpeed;23283;1390;Python;47;1190;3.530528633333333;55.0;750
tools;23282;2640;Rust;92;1162;157.03052885;92.0;751
mdb-ui-kit;23247;193;SCSS;27;3174;86.64719578333333;99.0;752
remix;23241;1956;TypeScript;110;913;115.01386266666667;84.0;753
dnSpy;23231;53;C#;1;2857;163.84719619999998;0.0;754
Web;23221;0;;0;2305;64.2971964;75.0;755
gitlabhq;23221;2227;Ruby;0;4225;714.4638632833334;0.0;756
docz;23220;365;TypeScript;127;1867;8.163863483333333;91.0;757
YesPlayMusic;23204;252;Vue;27;930;1.5805303666666668;72.0;758
awesome-swift;23201;1416;Ruby;0;3213;31.413863900000003;99.0;759
pkg;23177;171;JavaScript;41;2453;155.78053076666666;97.0;760
devise;23152;756;Ruby;19;4971;87.74719765;97.0;761
eShopOnContainers;23083;523;C#;11;2395;11.730531183333333;98.0;762
awesome-compose;23069;148;HTML;0;1169;17.84719805;39.0;763
go;23058;48;;0;3543;361.5305316;96.0;764
redash;23055;2680;Python;98;3468;112.34719846666667;77.0;765
CodeHub;23004;13;C#;4;3565;165.26386535;63.0;766
faas;22995;673;Go;163;2317;170.56386555;97.0;767
iTerm2-Color-Schemes;22991;271;Shell;0;4409;228.93053241666667;83.0;768
Mask_RCNN;22990;65;Python;3;2016;270.81386595;31.0;769
streisand;22963;527;Shell;0;3322;614.2471997;81.0;770
pure;22963;337;JavaScript;27;3657;299.13053281666663;99.0;771
taichi;22960;4839;C++;112;2345;88.23053323333333;72.0;772
ramda;22950;1282;JavaScript;27;3597;367.2472001166667;92.0;773
servo;22946;14503;;0;4096;711.1472005333333;71.0;774
discord.js;22946;3965;TypeScript;169;2817;67.83053364999999;98.0;775
spacemacs;22944;1658;Emacs Lisp;158;3783;1843.1305340666665;96.0;776
k3s;22932;2385;Go;530;1792;42.56386761666667;96.0;777
jax;22903;7112;Python;67;1645;60.04720115;73.0;778
awesome-sysadmin;22902;183;;0;3364;502.46386803333337;27.0;779
coder2gwy;22888;2;;0;848;768.5638682333333;18.0;780
ngrok;22862;34;Go;0;3690;263.2472017833333;74.0;781
Wox;22843;288;C#;38;3416;233.88053531666668;71.0;782
hosts;22842;429;Python;529;4032;24.730535533333335;97.0;783
PhotoSwipe;22802;76;JavaScript;17;4403;134.66386906666668;66.0;784
rufus;22795;0;C;75;4177;25.44720261666667;100.0;785
react-redux;22771;492;TypeScript;114;2847;29.28053615;99.0;786
viper;22765;287;Go;22;3312;173.88053635;54.0;787
architecture-components-samples;22745;216;Kotlin;0;2179;25.6138699;79.0;788
vapor;22741;1119;Swift;483;2656;119.88053678333334;94.0;789
pocketbase;22737;36;Go;71;296;90.46387031666667;95.0;790
glances;22699;526;Python;31;4162;40.64720386666667;88.0;791
coc.nvim;22694;683;TypeScript;82;1822;6.0805374;99.0;792
apollo;22668;9705;C++;11;2123;249.41387093333333;88.0;793
HowToLiveLonger;22653;9;;0;376;120.53053783333333;31.0;794
editor.js;22614;732;TypeScript;46;2707;14.313871366666666;65.0;795
lightning;22610;7481;Python;133;1488;13.33053825;90.0;796
eslint;22587;5481;JavaScript;291;3589;6.963871800000001;99.0;797
logrus;22566;399;Go;14;3480;287.69720533333333;99.0;798
sails;22561;538;JavaScript;40;4057;411.7638723;92.0;799
mostly-adequate-guide;22510;270;JavaScript;1;2913;399.33053918333337;74.0;800
guzzle;22499;897;PHP;54;4441;1695.8138727166665;99.0;801
algorithms;22491;429;Python;1;2352;25.24720626666667;64.0;802
90DaysOfDevOps;22479;270;Shell;2;487;10.397206466666667;94.0;803
ember.js;22460;7964;JavaScript;483;4355;2876.9305400166663;94.0;804
NativeScript;22460;3058;TypeScript;137;2979;225.46387356666668;86.0;805
octotree;22440;249;JavaScript;0;3275;176.99720711666666;95.0;806
redux-saga;22438;670;JavaScript;70;2706;977.6472073333333;99.0;807
stanford_alpaca;22424;6;Python;0;48;42.34720755;38.0;808
croc;22393;153;Go;139;2018;303.8805410833333;74.0;809
cascadia-code;22387;71;Python;17;1387;211.81387463333334;80.0;810
hub;22385;400;Go;60;4891;368.1305415166667;88.0;811
react-navigation;22378;1042;TypeScript;1000;2282;552.5305417166667;93.0;812
draft-js;22376;216;JavaScript;26;2624;24.330541916666668;55.0;813
blog;22369;1;;0;3289;41.33054213333333;33.0;814
Awesome;22343;206;;0;2523;92.23054233333333;64.0;815
idiomatic.js;22341;114;;0;4355;367.8805425333333;59.0;816
react-three-fiber;22340;489;TypeScript;58;1522;352.74720940000003;95.0;817
spleeter;22321;49;Python;2;1309;94.83054295000001;76.0;818
awesome-vscode;22320;242;JavaScript;0;2636;331.11387648333334;56.0;819
docker_practice;22301;252;Go;15;3156;26.463876683333336;99.0;820
